"LanguageMain","SurveyID","RefNo","Name","Title","Salutation","PersonType","Organisation","email","CandidateTel","CandidateMobile","ContactTel","OrganisationTel","ContactStatus","CandidatePermStatus","CandidateTempStatus","SalaryRequired","RateRequired","emailday","emailmonth","emailyear","OICons","MergedName","OIOffice","RmEmail","OISBU","OIDIV","Discriminator","JobType","language","RmEmailCc","RmEmailBcc","RmEmailEscalation","unsubs","Director1","Director2","OfficeLeagueTable","RegionLeagueTable","EmailAlertLink","AdaptDBID","ClientCallBack","ClientLowHPI","CandidateCallBack","BusinessDevelopment","CandidateReferral",""
"Japanese (17)<language selection=""jp""/>","usb0udk93mokr5rifw4q0fczv7khflhg","2980209","Meredith K. Shaffer","","","Contact","","sergii.stepanov@worldapp.com","19 96016028","19 96016028","","","","","","0","","24","6","2011","MARIANA TONETTI RORIZ FURTADO","SaoPauloPharma","Shinjuku Accountancy & Finance","sergii.stepanov@worldapp.com","Life Sciences","","Interview confirmed","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"Chinese (32772)<language selection=""cn""/>","hb4bnd01t8n8bcdugr9dsntigg5oiutr","2389096","Scarlet E. Welch","","","Contact","","sergii.stepanov@worldapp.com","(55118) 364-7003","(55118) 364-7003","","","","","","0","","25","7","2011","PAULA MELLER","SaoPauloPharma","Shanghai Accountancy & Finance","sergii.stepanov@worldapp.com","Life Sciences","","Perm Fill","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"English (Australia) (3081)<language selection=""en""/>","rvzza8r3ig3mtdb4ivksbnmkazbv9cww","5118128","Burton L. Gates","","","Contact","","sergii.stepanov@worldapp.com","19 96016028","19 96016028","","","","","","0","","26","8","2011","MARIANA TONETTI RORIZ FURTADO","SaoPauloPharma","Public Sector Sydney Accountancy & Finance","sergii.stepanov@worldapp.com","Life Sciences","","Interview confirmed","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"English (NZ) (5129)<language selection=""en""/>","oddtlimb5egeoyh5c05vmvnummnp84ek","6776697","Amery P. Byers","","","Contact","","sergii.stepanov@worldapp.com","(55118) 364-7003","(55118) 364-7003","","","","","","0","","27","9","2011","PAULA MELLER","SaoPauloPharma","South Auckland Construction","sergii.stepanov@worldapp.com","Life Sciences","","Perm Fill","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"Japanese (17)<language selection=""jp""/>","qebhbgocxm130pocs4ly6kbwxl0ufezl","7966035","Alisa Z. Bentley","","","Candidate","","sergii.stepanov@worldapp.com","19 96016028","19 96016028","","","","","","0","","28","10","2011","MARIANA TONETTI RORIZ FURTADO","SaoPauloPharma","Shinjuku Accountancy & Finance","sergii.stepanov@worldapp.com","Life Sciences","","Interview confirmed","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"Chinese (32772)<language selection=""cn""/>","wanr1siheubgmeoo13rwwx1yz173zroq","2590920","Dakota E. Dale","","","Candidate","","sergii.stepanov@worldapp.com","(55118) 364-7003","(55118) 364-7003","","","","","","0","","21","3","2011","PAULA MELLER","SaoPauloPharma","Shanghai Accountancy & Finance","sergii.stepanov@worldapp.com","Life Sciences","","Perm Fill","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"English (Australia) (3081)<language selection=""en""/>","mdggd4p8b8sdhwqw7dd8isdl1fvmlbvu","4745500","Phyllis X. Steele","","","Candidate","","sergii.stepanov@worldapp.com","19 96016028","19 96016028","","","","","","0","","22","4","2011","MARIANA TONETTI RORIZ FURTADO","SaoPauloPharma","Public Sector Sydney Accountancy & Finance","sergii.stepanov@worldapp.com","Life Sciences","","Interview confirmed","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"English (NZ) (5129)<language selection=""en""/>","lf5pgo01u6dxtyeyfytire8yks55zh51","4634135","Lee T. Fulton","","","Candidate","","sergii.stepanov@worldapp.com","(55118) 364-7003","(55118) 364-7003","","","","","","0","","23","5","2011","PAULA MELLER","SaoPauloPharma","South Auckland Construction","sergii.stepanov@worldapp.com","Life Sciences","","Perm Fill","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"English (UK) (9)<language selection=""en""/>","vvg6hscgv64itmro929ac9os4bqxq8hk","1337982","Pandora Q. Singleton","","","Contact","","sergii.stepanov@worldapp.com","(55118) 364-7003","(55118) 364-7003","","","","","","0","","1","1","2012","PAULA MELLER","SaoPauloPharma","London - Vic Ebury Gate EDUC Education","sergii.stepanov@worldapp.com","Life Sciences","","Perm Fill","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
"English (UK) (9)<language selection=""en""/>","mb64ma0tcewd7010a1m7muo5l88olgt0","8742034","Kaden C. Zimmerman","","","Contact","","sergii.stepanov@worldapp.com","19 96016028","19 96016028","","","","","","0","","2","2","2012","MARIANA TONETTI RORIZ FURTADO","SaoPauloPharma","Leeds - Sovereign House Education","sergii.stepanov@worldapp.com","Life Sciences","","Interview confirmed","Perm Job","1046","","","","","","","SaoPauloPharma","","","12"," "," "," "," "," "," "
